A6H5Z3|EXC6B: -12.992659320998328
P62751|RL23A: -12.921366374758797
P62715|PP2AB: -12.909507893868108
Q69ZK9|NLGN2: -12.904675215264339
P97441|ZNT3: -12.893824457901573
Q9CQ89|CUTA: -12.889262383196387
Q9D0M1|KPRA: -12.803748536902674
Q8CBY8|DCTN4: -12.795397617450549
Q4ACU6|SHAN3: -12.793430770172384
P26638|SYSC: -12.767201995503738
O88545|CSN6: -12.764582581794858
O35864|CSN5: -12.749649669559986
Q9D6K8|FUND2: -12.73483553106763
Q3UPL0|SC31A: -12.732226392808276
Q9JII5|DAZP1: -12.73072573069582
Q3UUI3|THEM4: -12.715707952452975
E9Q6P5|TTC7B: -12.69017593420425
P63054|PCP4: -12.682459091038782
Q8VBZ3|CLPT1: -12.645973521283324
Q8VHI6|WASF3: -12.64572017501734
Q9DBC7|KAP0: -12.6372497361301
Q6ZPJ3|UBE2O: -12.620309119793417
Q91VN4|MIC25: -12.62015104334267
Q4KUS2|UN13A: -12.603788242737767
O09114|PTGDS: -12.523109211342978
P60469|LIPA3: -12.519436490943676
Q8VBV7|CSN8: -12.517548266463146
Q9WVK4|EHD1: -12.502960430135557
Q9WV60|GSK3B: -12.502552142474949
Q8BJY1|PSMD5: -12.491606936213687
Q8R127|SCPDL: -12.489006836763881
Q91WG7|DGKG: -12.473594191042565
P56812|PDCD5: -12.472064204201821
Q8VHH5|AGAP3: -12.425575709428477
Q4KML4|ABRAL: -12.401538111515427
P00158|CYB: -12.358467409501017
Q9Z0S1|BPNT1: -12.355889116514632
Q3UMR5|MCU: -12.343111511938766
O54946|DNJB6: -12.337137601466798
Q99KQ4|NAMPT: -12.331252416974849
Q80XI3|IF4G3: -12.329086494344251
Q71M36|CSPG5: -12.316080824630424
Q8JZS0|LIN7A: -12.312405357691278
Q62419|SH3G1: -12.307530124784632
Q8BL97|SRSF7: -12.300728395235897
Q80U63|MFN2: -12.295509249523318
Q03137|EPHA4: -12.278587494083988
P34884|MIF: -12.264799223911702
Q8C0C7|SYFA: -12.238622107157887
Q6IRU2|TPM4: -12.213116597983404
O35226|PSMD4: -12.207646359837916
P60603|ROMO1: -12.19313152522946
Q0VE82|CPNE7: -12.11311785494091
P52196|THTR: -12.105540360033162
Q8BMS4|COQ3: -12.093211437636505
Q3UVL4|VPS51: -12.091282394560732
